,x,y
task,17.744495,-27.144516
fannie,66.93109,9.306684
*,61.779354,-19.019794
manner,17.212658,5.074672
build,15.344373,-41.170113
skin,-47.95922,-29.277037
tryin,-17.216639,35.922752
cattle,-30.782207,-53.72651
clear,6.1669545,-47.965843
covered,-35.273422,-21.072674
fit,6.948421,53.20644
betty,71.74555,11.830635
tater,-29.382496,-40.012913
stone,17.522894,-40.288197
whoop,-9.520985,13.555782
fever,-49.84461,-35.332405
broom,-24.90434,6.6852593
wove,-63.899876,-19.65707
plank,-45.57361,-18.463425
finished,-12.123784,-30.309612
rough,-47.797928,-17.761557
shuck,-25.388313,-15.975004
rather,25.711672,11.526223
running,-0.9417444,-3.0388706
true,23.19018,25.520885
alone,34.65845,6.39863
basket,-53.26615,-15.2429285
egg,-35.93357,-39.23828
longer,17.511477,-21.944324
followed,1.4399962,-3.9613388
minute,-47.00688,42.10385
sound,18.305237,2.2637842
ticket,30.83849,32.373947
awhile,-3.168086,-10.952883
think,0.81033945,54.919994
butter,-33.479736,-39.0519
bothered,5.9811516,35.537537
wha,-44.870495,30.858002
jist,-30.958351,44.505333
somepin,-21.912344,29.846361
bone,-47.762135,14.908623
placed,15.400151,-10.301762
agin,-41.08558,44.318096
coat,-62.66144,-7.018119
cat,-51.610424,7.395894
point,33.627995,-10.9209
coal,-40.65377,-35.130566
sale,37.319393,-28.804518
bless,14.125008,50.683586
worry,-18.483683,46.41686
charles,57.186398,-8.445354
past,22.743662,15.144327
taking,8.532592,-10.720526
trip,43.175774,-34.615776
ear,-58.97587,0.63453233
track,45.42062,-36.169315
molasses,-34.55618,-43.982265
snake,-52.488773,7.657503
brick,17.246058,-41.815083
blacksmith,22.340538,-31.888554
martha,68.940735,6.892487
anyhow,-21.547955,40.90869
mud,-44.103687,-22.382479
string,-48.413692,-2.3061192
hang,-45.804184,3.4147563
buggy,-0.11636251,-25.75376
fun,-12.851314,31.334951
take,-21.9944,47.768642
charleston,43.61667,-20.755188
sherman,41.636272,-11.708433
smokehouse,-28.11535,-34.512875
seat,-5.9739385,-34.743874
iffen,-29.004522,43.822037
suit,-64.55779,-5.1377616
rope,-48.29986,-1.3951582
funeral,-34.326824,-12.955222
growed,-21.89386,-42.44976
easy,-12.961112,50.556087
cruel,25.061502,19.182554
continued,13.082827,28.200542
jumped,-26.178024,9.176966
republican,33.457478,31.915071
religion,18.651745,17.396812
tote,-47.55879,8.833024
spell,-10.922781,35.62135
mistis,58.22215,20.509073
onliest,-39.51619,27.520395
sallie,68.70745,7.5974884
chain,-46.67612,0.19212951
changed,0.8014653,51.281776
hound,-25.41362,0.3251942
mattress,-54.694283,-16.935396
really,25.544855,26.998735
atlanta,50.9165,-23.98433
blind,56.124077,16.87159
received,14.392482,-4.9234214
wedding,-21.574669,4.7535186
knock,-28.072279,13.7972145
condition,28.573286,17.189363
be,-40.692745,32.565002
ox,0.23486461,-25.185394
break,-28.469814,5.881859
pole,-45.516846,-16.521614
jined,6.7977967,17.285524
settled,48.98012,-13.749938
blow,-30.810493,0.051550545
brung,-30.88949,35.093002
afternoon,-14.108178,-24.2385
hotel,49.008698,-27.69128
lewis,53.275314,10.651093
e,-43.238636,34.221478
rent,24.0733,-26.388704
lan,-36.79802,31.307734
preach,7.6046724,12.921435
spin,-66.70091,-18.311396
call,-22.772848,51.534744
preached,8.762155,12.841343
hisself,-3.4957433,-15.381387
pant,-62.094482,-7.5769095
quick,-45.123104,19.81993
eatin,-19.430729,-36.36852
